cohort,replicate,assay,biogroup,cpid,TR
1,1,AR,noRNA,1,2674
1,1,AR,noRNA,2,2675
1,1,AR,noRNA,3,2676
1,1,AR,noRNA,4,2677
1,1,AR,noRNA,5,2678
1,1,AR,Bgal,1,2679
1,1,AR,Bgal,2,2680
1,1,AR,Bgal,3,2681
1,1,AR,Bgal,4,2682
1,1,AR,Bgal,5,2683
1,1,AR,CYP1A2,1,2684
1,1,AR,CYP1A2,2,2685
1,1,AR,CYP1A2,3,2686
1,1,AR,CYP1A2,4,2687
1,1,AR,CYP1A2,5,2688
1,1,AR,CYP2A6,1,2689
1,1,AR,CYP2A6,2,2690
1,1,AR,CYP2A6,3,2691
1,1,AR,CYP2A6,4,2692
1,1,AR,CYP2A6,5,2693
1,1,Viability,noRNA,1,2694
1,1,Viability,noRNA,2,2695
1,1,Viability,noRNA,3,2696
1,1,Viability,noRNA,4,2697
1,1,Viability,noRNA,5,2698
1,1,Viability,Bgal,1,2699
1,1,Viability,Bgal,2,2700
1,1,Viability,Bgal,3,2701
1,1,Viability,Bgal,4,2702
1,1,Viability,Bgal,5,2703
1,1,Viability,CYP1A2,1,2704
1,1,Viability,CYP1A2,2,2705
1,1,Viability,CYP1A2,3,2706
1,1,Viability,CYP1A2,4,2707
1,1,Viability,CYP1A2,5,2708
1,1,Viability,CYP2A6,1,2709
1,1,Viability,CYP2A6,2,2710
1,1,Viability,CYP2A6,3,2711
1,1,Viability,CYP2A6,4,2712
1,1,Viability,CYP2A6,5,2713
1,2,AR,noRNA,1,2714
1,2,AR,noRNA,2,2715
1,2,AR,noRNA,3,2716
1,2,AR,noRNA,4,2717
1,2,AR,noRNA,5,2718
1,2,AR,Bgal,1,2719
1,2,AR,Bgal,2,2720
1,2,AR,Bgal,3,2721
1,2,AR,Bgal,4,2722
1,2,AR,Bgal,5,2723
1,2,AR,CYP1A2,1,2724
1,2,AR,CYP1A2,2,2725
1,2,AR,CYP1A2,3,2726
1,2,AR,CYP1A2,4,2727
1,2,AR,CYP1A2,5,2728
1,2,AR,CYP2A6,1,2729
1,2,AR,CYP2A6,2,2730
1,2,AR,CYP2A6,3,2731
1,2,AR,CYP2A6,4,2732
1,2,AR,CYP2A6,5,2733
1,2,Viability,noRNA,1,2734
1,2,Viability,noRNA,2,2735
1,2,Viability,noRNA,3,2736
1,2,Viability,noRNA,4,2737
1,2,Viability,noRNA,5,2738
1,2,Viability,Bgal,1,2739
1,2,Viability,Bgal,2,2740
1,2,Viability,Bgal,3,2741
1,2,Viability,Bgal,4,2742
1,2,Viability,Bgal,5,2743
1,2,Viability,CYP1A2,1,2744
1,2,Viability,CYP1A2,2,2745
1,2,Viability,CYP1A2,3,2746
1,2,Viability,CYP1A2,4,2747
1,2,Viability,CYP1A2,5,2748
1,2,Viability,CYP2A6,1,2749
1,2,Viability,CYP2A6,2,2750
1,2,Viability,CYP2A6,3,2751
1,2,Viability,CYP2A6,4,2752
1,2,Viability,CYP2A6,5,2753
1,3,AR,noRNA,1,2754
1,3,AR,noRNA,2,2755
1,3,AR,noRNA,3,2756
1,3,AR,noRNA,4,2757
1,3,AR,noRNA,5,2758
1,3,AR,Bgal,1,2759
1,3,AR,Bgal,2,2760
1,3,AR,Bgal,3,2761
1,3,AR,Bgal,4,2762
1,3,AR,Bgal,5,2763
1,3,AR,CYP1A2,1,2764
1,3,AR,CYP1A2,2,2765
1,3,AR,CYP1A2,3,2766
1,3,AR,CYP1A2,4,2767
1,3,AR,CYP1A2,5,2768
1,3,AR,CYP2A6,1,2769
1,3,AR,CYP2A6,2,2770
1,3,AR,CYP2A6,3,2771
1,3,AR,CYP2A6,4,2772
1,3,AR,CYP2A6,5,2773
1,3,Viability,noRNA,1,2774
1,3,Viability,noRNA,2,2775
1,3,Viability,noRNA,3,2776
1,3,Viability,noRNA,4,2777
1,3,Viability,noRNA,5,2778
1,3,Viability,Bgal,1,2779
1,3,Viability,Bgal,2,2780
1,3,Viability,Bgal,3,2781
1,3,Viability,Bgal,4,2782
1,3,Viability,Bgal,5,2783
1,3,Viability,CYP1A2,1,2784
1,3,Viability,CYP1A2,2,2785
1,3,Viability,CYP1A2,3,2786
1,3,Viability,CYP1A2,4,2787
1,3,Viability,CYP1A2,5,2788
1,3,Viability,CYP2A6,1,2789
1,3,Viability,CYP2A6,2,2790
1,3,Viability,CYP2A6,3,2791
1,3,Viability,CYP2A6,4,2792
1,3,Viability,CYP2A6,5,2793
2,1,AR,CYP2B6,1,2794
2,1,AR,CYP2B6,2,2795
2,1,AR,CYP2B6,3,2796
2,1,AR,CYP2B6,4,2797
2,1,AR,CYP2B6,5,2798
2,1,AR,CYP2C8,1,2799
2,1,AR,CYP2C8,2,2800
2,1,AR,CYP2C8,3,2801
2,1,AR,CYP2C8,4,2802
2,1,AR,CYP2C8,5,2803
2,1,AR,CYP2C9,1,2804
2,1,AR,CYP2C9,2,2805
2,1,AR,CYP2C9,3,2806
2,1,AR,CYP2C9,4,2807
2,1,AR,CYP2C9,5,2808
2,1,AR,CYP2C19,1,2809
2,1,AR,CYP2C19,2,2810
2,1,AR,CYP2C19,3,2811
2,1,AR,CYP2C19,4,2812
2,1,AR,CYP2C19,5,2813
2,1,Viability,CYP2B6,1,2814
2,1,Viability,CYP2B6,2,2815
2,1,Viability,CYP2B6,3,2816
2,1,Viability,CYP2B6,4,2817
2,1,Viability,CYP2B6,5,2818
2,1,Viability,CYP2C8,1,2819
2,1,Viability,CYP2C8,2,2820
2,1,Viability,CYP2C8,3,2821
2,1,Viability,CYP2C8,4,2822
2,1,Viability,CYP2C8,5,2823
2,1,Viability,CYP2C9,1,2824
2,1,Viability,CYP2C9,2,2825
2,1,Viability,CYP2C9,3,2826
2,1,Viability,CYP2C9,4,2827
2,1,Viability,CYP2C9,5,2828
2,1,Viability,CYP2C19,1,2829
2,1,Viability,CYP2C19,2,2830
2,1,Viability,CYP2C19,3,2831
2,1,Viability,CYP2C19,4,2832
2,1,Viability,CYP2C19,5,2833
2,2,AR,CYP2B6,1,2834
2,2,AR,CYP2B6,2,2835
2,2,AR,CYP2B6,3,2836
2,2,AR,CYP2B6,4,2837
2,2,AR,CYP2B6,5,2838
2,2,AR,CYP2C8,1,2839
2,2,AR,CYP2C8,2,2840
2,2,AR,CYP2C8,3,2841
2,2,AR,CYP2C8,4,2842
2,2,AR,CYP2C8,5,2843
2,2,AR,CYP2C9,1,2844
2,2,AR,CYP2C9,2,2845
2,2,AR,CYP2C9,3,2846
2,2,AR,CYP2C9,4,2847
2,2,AR,CYP2C9,5,2848
2,2,AR,CYP2C19,1,2849
2,2,AR,CYP2C19,2,2850
2,2,AR,CYP2C19,3,2851
2,2,AR,CYP2C19,4,2852
2,2,AR,CYP2C19,5,2853
2,2,Viability,CYP2B6,1,2854
2,2,Viability,CYP2B6,2,2855
2,2,Viability,CYP2B6,3,2856
2,2,Viability,CYP2B6,4,2857
2,2,Viability,CYP2B6,5,2858
2,2,Viability,CYP2C8,1,2859
2,2,Viability,CYP2C8,2,2860
2,2,Viability,CYP2C8,3,2861
2,2,Viability,CYP2C8,4,2862
2,2,Viability,CYP2C8,5,2863
2,2,Viability,CYP2C9,1,2864
2,2,Viability,CYP2C9,2,2865
2,2,Viability,CYP2C9,3,2866
2,2,Viability,CYP2C9,4,2867
2,2,Viability,CYP2C9,5,2868
2,2,Viability,CYP2C19,1,2869
2,2,Viability,CYP2C19,2,2870
2,2,Viability,CYP2C19,3,2871
2,2,Viability,CYP2C19,4,2872
2,2,Viability,CYP2C19,5,2873
2,3,AR,CYP2B6,1,2874
2,3,AR,CYP2B6,2,2875
2,3,AR,CYP2B6,3,2876
2,3,AR,CYP2B6,4,2877
2,3,AR,CYP2B6,5,2878
2,3,AR,CYP2C8,1,2879
2,3,AR,CYP2C8,2,2880
2,3,AR,CYP2C8,3,2881
2,3,AR,CYP2C8,4,2882
2,3,AR,CYP2C8,5,2883
2,3,AR,CYP2C9,1,2884
2,3,AR,CYP2C9,2,2885
2,3,AR,CYP2C9,3,2886
2,3,AR,CYP2C9,4,2887
2,3,AR,CYP2C9,5,2888
2,3,AR,CYP2C19,1,2889
2,3,AR,CYP2C19,2,2890
2,3,AR,CYP2C19,3,2891
2,3,AR,CYP2C19,4,2892
2,3,AR,CYP2C19,5,2893
2,3,Viability,CYP2B6,1,2894
2,3,Viability,CYP2B6,2,2895
2,3,Viability,CYP2B6,3,2896
2,3,Viability,CYP2B6,4,2897
2,3,Viability,CYP2B6,5,2898
2,3,Viability,CYP2C8,1,2899
2,3,Viability,CYP2C8,2,2900
2,3,Viability,CYP2C8,3,2901
2,3,Viability,CYP2C8,4,2902
2,3,Viability,CYP2C8,5,2903
2,3,Viability,CYP2C9,1,2904
2,3,Viability,CYP2C9,2,2905
2,3,Viability,CYP2C9,3,2906
2,3,Viability,CYP2C9,4,2907
2,3,Viability,CYP2C9,5,2908
2,3,Viability,CYP2C19,1,2909
2,3,Viability,CYP2C19,2,2910
2,3,Viability,CYP2C19,3,2911
2,3,Viability,CYP2C19,4,2912
2,3,Viability,CYP2C19,5,2913
3,1,AR,CYP2D6,1,2914
3,1,AR,CYP2D6,2,2915
3,1,AR,CYP2D6,3,2916
3,1,AR,CYP2D6,4,2917
3,1,AR,CYP2D6,5,2918
3,1,AR,CYP2E1,1,2919
3,1,AR,CYP2E1,2,2920
3,1,AR,CYP2E1,3,2921
3,1,AR,CYP2E1,4,2922
3,1,AR,CYP2E1,5,2923
3,1,AR,CYP2E1-WT,1,2924
3,1,AR,CYP2E1-WT,2,2925
3,1,AR,CYP2E1-WT,3,2926
3,1,AR,CYP2E1-WT,4,2927
3,1,AR,CYP2E1-WT,5,2928
3,1,AR,CYP2J2,1,2929
3,1,AR,CYP2J2,2,2930
3,1,AR,CYP2J2,3,2931
3,1,AR,CYP2J2,4,2932
3,1,AR,CYP2J2,5,2933
3,1,AR,CYP3A4,1,2934
3,1,AR,CYP3A4,2,2935
3,1,AR,CYP3A4,3,2936
3,1,AR,CYP3A4,4,2937
3,1,AR,CYP3A4,5,2938
3,1,Viability,CYP2D6,1,2939
3,1,Viability,CYP2D6,2,2940
3,1,Viability,CYP2D6,3,2941
3,1,Viability,CYP2D6,4,2942
3,1,Viability,CYP2D6,5,2943
3,1,Viability,CYP2E1,1,2944
3,1,Viability,CYP2E1,2,2945
3,1,Viability,CYP2E1,3,2946
3,1,Viability,CYP2E1,4,2947
3,1,Viability,CYP2E1,5,2948
3,1,Viability,CYP2E1-WT,1,2949
3,1,Viability,CYP2E1-WT,2,2950
3,1,Viability,CYP2E1-WT,3,2951
3,1,Viability,CYP2E1-WT,4,2952
3,1,Viability,CYP2E1-WT,5,2953
3,1,Viability,CYP2J2,1,2954
3,1,Viability,CYP2J2,2,2955
3,1,Viability,CYP2J2,3,2956
3,1,Viability,CYP2J2,4,2957
3,1,Viability,CYP2J2,5,2958
3,1,Viability,CYP3A4,1,2959
3,1,Viability,CYP3A4,2,2960
3,1,Viability,CYP3A4,3,2961
3,1,Viability,CYP3A4,4,2962
3,1,Viability,CYP3A4,5,2963
3,2,AR,CYP2D6,1,2964
3,2,AR,CYP2D6,2,2965
3,2,AR,CYP2D6,3,2966
3,2,AR,CYP2D6,4,2967
3,2,AR,CYP2D6,5,2968
3,2,AR,CYP2E1,1,2969
3,2,AR,CYP2E1,2,2970
3,2,AR,CYP2E1,3,2971
3,2,AR,CYP2E1,4,2972
3,2,AR,CYP2E1,5,2973
3,2,AR,CYP2E1-WT,1,2974
3,2,AR,CYP2E1-WT,2,2975
3,2,AR,CYP2E1-WT,3,2976
3,2,AR,CYP2E1-WT,4,2977
3,2,AR,CYP2E1-WT,5,2978
3,2,AR,CYP2J2,1,2979
3,2,AR,CYP2J2,2,2980
3,2,AR,CYP2J2,3,2981
3,2,AR,CYP2J2,4,2982
3,2,AR,CYP2J2,5,2983
3,2,AR,CYP3A4,1,2984
3,2,AR,CYP3A4,2,2985
3,2,AR,CYP3A4,3,2986
3,2,AR,CYP3A4,4,2987
3,2,AR,CYP3A4,5,2988
3,2,Viability,CYP2D6,1,2989
3,2,Viability,CYP2D6,2,2990
3,2,Viability,CYP2D6,3,2991
3,2,Viability,CYP2D6,4,2992
3,2,Viability,CYP2D6,5,2993
3,2,Viability,CYP2E1,1,2994
3,2,Viability,CYP2E1,2,2995
3,2,Viability,CYP2E1,3,2996
3,2,Viability,CYP2E1,4,2997
3,2,Viability,CYP2E1,5,2998
3,2,Viability,CYP2E1-WT,1,2999
3,2,Viability,CYP2E1-WT,2,3000
3,2,Viability,CYP2E1-WT,3,3001
3,2,Viability,CYP2E1-WT,4,3002
3,2,Viability,CYP2E1-WT,5,3003
3,2,Viability,CYP2J2,1,3004
3,2,Viability,CYP2J2,2,3005
3,2,Viability,CYP2J2,3,3006
3,2,Viability,CYP2J2,4,3007
3,2,Viability,CYP2J2,5,3008
3,2,Viability,CYP3A4,1,3009
3,2,Viability,CYP3A4,2,3010
3,2,Viability,CYP3A4,3,3011
3,2,Viability,CYP3A4,4,3012
3,2,Viability,CYP3A4,5,3013
3,3,AR,CYP2D6,1,3014
3,3,AR,CYP2D6,2,3015
3,3,AR,CYP2D6,3,3016
3,3,AR,CYP2D6,4,3017
3,3,AR,CYP2D6,5,3018
3,3,AR,CYP2E1,1,3019
3,3,AR,CYP2E1,2,3020
3,3,AR,CYP2E1,3,3021
3,3,AR,CYP2E1,4,3022
3,3,AR,CYP2E1,5,3023
3,3,AR,CYP2E1-WT,1,3024
3,3,AR,CYP2E1-WT,2,3025
3,3,AR,CYP2E1-WT,3,3026
3,3,AR,CYP2E1-WT,4,3027
3,3,AR,CYP2E1-WT,5,3028
3,3,AR,CYP2J2,1,3029
3,3,AR,CYP2J2,2,3030
3,3,AR,CYP2J2,3,3031
3,3,AR,CYP2J2,4,3032
3,3,AR,CYP2J2,5,3033
3,3,AR,CYP3A4,1,3034
3,3,AR,CYP3A4,2,3035
3,3,AR,CYP3A4,3,3036
3,3,AR,CYP3A4,4,3037
3,3,AR,CYP3A4,5,3038
3,3,Viability,CYP2D6,1,3039
3,3,Viability,CYP2D6,2,3040
3,3,Viability,CYP2D6,3,3041
3,3,Viability,CYP2D6,4,3042
3,3,Viability,CYP2D6,5,3043
3,3,Viability,CYP2E1,1,3044
3,3,Viability,CYP2E1,2,3045
3,3,Viability,CYP2E1,3,3046
3,3,Viability,CYP2E1,4,3047
3,3,Viability,CYP2E1,5,3048
3,3,Viability,CYP2E1-WT,1,3049
3,3,Viability,CYP2E1-WT,2,3050
3,3,Viability,CYP2E1-WT,3,3051
3,3,Viability,CYP2E1-WT,4,3052
3,3,Viability,CYP2E1-WT,5,3053
3,3,Viability,CYP2J2,1,3054
3,3,Viability,CYP2J2,2,3055
3,3,Viability,CYP2J2,3,3056
3,3,Viability,CYP2J2,4,3057
3,3,Viability,CYP2J2,5,3058
3,3,Viability,CYP3A4,1,3059
3,3,Viability,CYP3A4,2,3060
3,3,Viability,CYP3A4,3,3061
3,3,Viability,CYP3A4,4,3062
3,3,Viability,CYP3A4,5,3063
